Job Title,Company Name,Job Tags,Salary Range,Date Posted,Location,Country,City,Job Category,Skills Found,Skills Count,All Skills List
Senior Software Engineer Analytics,Ada,"Software, Software, Growth, Growth, Management, Management",💰 Upgrade to Premium to see salary,2026-01-16T03:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,R,1,R
AI Finance Tutor Quantitative Finance,xAI,"Tutor, Tutor, Teach, Teach, Training, Training",💰 Upgrade to Premium to see salary,2026-01-16T02:00:17+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Senior Software Engineer Training,Ada,"Training, Training, Software, Software, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-16T02:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Machine Learning Engineer 3D Vision&Localization,Bot Auto,"3d, 3d, Robotics, Robotics, Operational, Operational",💰 Upgrade to Premium to see salary,2026-01-16T01:00:04+00:00,"Houston, TX",Us,Houston,Data Science,R,1,R
Senior Quality Engineer,Khan Academy,"Design, Design, Students, Students, Support, Support",💰 Upgrade to Premium to see salary,2026-01-15T23:00:06+00:00,"Mountain View, CA","Mountain View, CA",Multiple locations,Support,R,1,R
Character Artist Clothing NBA 2K,Visual Concepts,"Game, Game, Technical, Technical, Video, Video",💰 Upgrade to Premium to see salary,2026-01-15T20:00:31+00:00,"Novato, CA","Novato, CA",Multiple locations,Other,None identified,0,
Character Artist Clothing NBA 2K,Visual Concepts,"3d, 3d, Game, Game, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-15T20:00:20+00:00,"Novato, CA","Novato, CA",Multiple locations,Other,None identified,0,
Manager Sales Development,Newsela,"Manager, Manager, Design, Design, Salesforce, Salesforce",💰 Upgrade to Premium to see salary,2026-01-15T20:00:09+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Salesforce Experience Architect AI and Agentforce,"NeuraFlash, Part of Accenture","Salesforce, Salesforce, Architect, Architect, Amazon, Amazon",💰 Upgrade to Premium to see salary,2026-01-15T19:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,"R, Salesforce",2,R | Salesforce
Associate Customer Success Manager Colombia,DoiT,"Manager, Manager, Growth, Growth, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-15T16:03:13+00:00,Colombia,Colombia,Multiple locations,Support,R,1,R
Marketing Operations Production Specialist,Anaplan,"Lead, Lead, Operations, Operations, Operational, Operational",💰 Upgrade to Premium to see salary,2026-01-15T16:02:59+00:00,India,India,Multiple locations,Marketing,R,1,R
Supply Chain Analyst Labor Planning,"ShipBob, Inc.","Analyst, Analyst",💰 Upgrade to Premium to see salary,2026-01-15T16:02:48+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,None identified,0,
Enterprise Account Executive,Anaplan,"Growth, Growth, Management, Management, Sales, Sales",💰 Upgrade to Premium to see salary,2026-01-15T16:02:39+00:00,Germany,Germany,Multiple locations,Sales,R,1,R
Account Executive Advisor,"Pathward, N.A.","Financial, Financial, Operational, Operational, Legal, Legal",💰 Upgrade to Premium to see salary,2026-01-15T16:01:54+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,R,1,R
Account Executive Level 2,Bloomerang,"Support, Support, Software, Software, Sales, Sales",💰 Upgrade to Premium to see salary,2026-01-15T16:01:43+00:00,"Remote, US",Us,Remote,Sales,R,1,R
Senior Data Scientist,Phaidra,"Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-15T14:00:18+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Director of Engineering Canada,Alpaca,"Director, Director, Crypto, Crypto, Architect, Architect",💰 Upgrade to Premium to see salary,2026-01-15T11:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Software Engineering Team Lead,bloXroute Labs,"Software, Software, Support, Support, Testing, Testing",💰 Upgrade to Premium to see salary,2026-01-15T07:00:01+00:00,Remote,Remote,Remote,Software Development,R,1,R
Staff Data Software Engineer,Lookout Inc,"Software, Software, Security, Security, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-15T03:00:05+00:00,"Remote, Canada",Canada,Remote,Software Development,R,1,R
Senior Software Engineer,Fluxon,"Software, Software, Design, Design, Docker, Docker",💰 Upgrade to Premium to see salary,2026-01-15T02:00:06+00:00,Lisbon,Lisbon,Multiple locations,Software Development,"Docker, R",2,Docker | R
Senior Software Engineer,Fluxon,"Software, Software, Design, Design, Docker, Docker",💰 Upgrade to Premium to see salary,2026-01-15T01:00:06+00:00,Hyderabad,Hyderabad,Multiple locations,Software Development,"Docker, R",2,Docker | R
Junior Crypto Analyst & Trader,WhiteBridge-Ltd,"Finance, Finance, Crypto, Crypto, Edu, Edu",💰 $70k - $90k,2026-01-07T12:53:55+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Finance,R,1,R
HR Virtual Assistant,Assist World,"HR, HR, Assistant, Assistant, System, System",💰 Upgrade to Premium to see salary,2026-01-14T10:00:02+00:00,South Africa,South Africa,Multiple locations,Other,R,1,R
Solutions Architect Contract Hire,Lirio,"Architect, Architect, Travel, Travel, Health, Health",💰 Upgrade to Premium to see salary,2026-01-14T04:00:10+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Senior Software Engineer,Fluxon,"Software, Software, Design, Design, Docker, Docker",💰 Upgrade to Premium to see salary,2026-01-14T03:00:06+00:00,Bengaluru,Bengaluru,Multiple locations,Software Development,"Docker, R",2,Docker | R
Senior Staff Content Designer Pay Group,Gusto,"Design, Design, Designer, Designer, Support, Support",💰 Upgrade to Premium to see salary,2026-01-14T02:01:00+00:00,"Denver, CO;San Francisco, CA;New York, NY;Los Angeles, CA;Seattle, WA;Toronto, Ontario, CAN","Denver, CO;San Francisco, CA;New York, NY;Los Angeles, CA;Seattle, WA;Toronto, Ontario, CAN",Multiple locations,Design,R,1,R
Senior Software Engineer,Fluxon,"Software, Software, Design, Design, Docker, Docker",💰 Upgrade to Premium to see salary,2026-01-14T02:00:07+00:00,Gurgaon,Gurgaon,Multiple locations,Software Development,"Docker, R",2,Docker | R
Senior Software Engineer,Fluxon,"Software, Software, Design, Design, Docker, Docker",💰 Upgrade to Premium to see salary,2026-01-14T01:00:06+00:00,Poland,Poland,Multiple locations,Software Development,"Docker, R",2,Docker | R
PHP Laravel Developer Needed ROCKSTARS ONLY,Agent Legend,"PHP, PHP, Laravel, Laravel, Developer, Developer",💰 $50k - $70k,2026-01-14T00:00:02+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Software Development,"Laravel, Php, R",3,Laravel | Php | R
Principal Enterprise Architect,Versaterm,"Architect, Architect, Design, Design, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-13T23:00:06+00:00,U.S.,U.S.,Multiple locations,Other,R,1,R
Distinguished Engineer Apache Spark,2100 NVIDIA USA,"Design, Design, Hadoop, Hadoop, System, System",💰 Upgrade to Premium to see salary,2026-01-13T21:00:05+00:00,"US, CA, Santa Clara",Us,US,Other,Hadoop,1,Hadoop
Sr Software Development Engineer,BeyondTrust,"Software, Software, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-13T20:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Site Reliability Engineer South Korea,MinIO,"Software, Software, DevOps, DevOps, Leader, Leader",💰 Upgrade to Premium to see salary,2026-01-13T18:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,DevOps,"Devops, R",2,Devops | R
Chief Information Security Officer,ButterflyMX,"Security, Security, Design, Design, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-13T16:00:44+00:00,New York,New York,Multiple locations,Other,R,1,R
Experienced Software Engineer,Automattic Careers,"Software, Software, Wordpress, Wordpress, Support, Support",💰 Upgrade to Premium to see salary,2026-01-13T16:00:26+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,"R, Wordpress",2,R | Wordpress
Product Manager,Basis Technologies,"Manager, Manager, Technical, Technical, Software, Software",💰 Upgrade to Premium to see salary,2026-01-13T15:00:15+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Product Management,R,1,R
Team Lead Customer Support,SpryPoint,"Amazon, Amazon, Training, Training, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-13T15:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Account Executive,Quantcast,"Support, Support, Growth, Growth, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-13T14:06:14+00:00,"Portland, OR","Portland, OR",Multiple locations,Sales,R,1,R
Product Designer,Skio,"Design, Design, SaaS, SaaS, System, System",💰 Upgrade to Premium to see salary,2026-01-13T13:00:02+00:00,"San Francisco, New York, or Remote","San Francisco, New York, or Remote",Multiple locations,Design,None identified,0,
Copywriter,Unreal Snacks,"Copywriter, Copywriter, Support, Support, Copywriting, Copywriting",💰 Upgrade to Premium to see salary,2026-01-13T11:00:46+00:00,Remote,Remote,Remote,Support,R,1,R
Video & Motion Designer,Karya,"Training, Training, Designer, Designer, Video, Video",💰 Upgrade to Premium to see salary,2026-01-13T11:00:24+00:00,Remote,Remote,Remote,Data Science,R,1,R
Product Consultant,Apply Digital,"Consultant, Consultant, Design, Design, Training, Training",💰 Upgrade to Premium to see salary,2026-01-13T08:01:03+00:00,Los Angeles,Los Angeles,Multiple locations,Data Science,R,1,R
DevOps Lead Engineer,"Envoy Global, Inc.","Design, Design, Security, Security, InfoSec, InfoSec",💰 Upgrade to Premium to see salary,2026-01-13T04:01:08+00:00,Chicago IL,Chicago IL,Multiple locations,DevOps,R,1,R
Principal DevOps Engineer Datastores,Udemy,"Security, Security, Students, Students, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-13T04:00:23+00:00,"Austin, TX; Denver, CO",Us,Austin,DevOps,R,1,R
Software Development Manager,Mitratech,"Software, Software, Manager, Manager, HR, HR",💰 Upgrade to Premium to see salary,2026-01-13T03:00:26+00:00,Remote Canada,Canada,Remote,Other,R,1,R
Solutions Architect Strategic Capture,Defense Unicorns,"Architect, Architect, Security, Security, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-13T02:00:13+00:00,Remote - US,Us,Remote,Other,R,1,R
Current openings,Alpaca,"Crypto, Crypto, Financial, Financial, Investment, Investment",💰 Upgrade to Premium to see salary,2026-01-13T01:00:11+00:00,Remote,Remote,Remote,Other,R,1,R
Character Artist Heads NBA 2K,Visual Concepts,"Game, Game, Technical, Technical, Video, Video",💰 Upgrade to Premium to see salary,2026-01-12T20:00:38+00:00,Novato,Novato,Multiple locations,Other,None identified,0,
Sales & Business Development Director,NEAR Foundation,"Director, Director, Technical, Technical, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-12T20:00:17+00:00,San Francisco,San Francisco,Multiple locations,Sales,R,1,R
Senior Data Engineer,Sanctuary Computer,"Engineer, Engineer, Senior, Senior, Technical, Technical",💰 $180k - $270k,2026-01-12T19:57:40+00:00,🇺🇸 United States,United States,🇺🇸,Other,R,1,R
Software Developer ll ShareGate Foundation,Workleap,"Developer, Developer, Software, Software, HR, HR",💰 Upgrade to Premium to see salary,2026-01-12T19:00:11+00:00,Canada,Canada,Multiple locations,Software Development,R,1,R
Enterprise Customer Success Manager,Lumos,"Manager, Manager, SaaS, SaaS, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-12T18:01:26+00:00,Remote,Remote,Remote,Support,R,1,R
HR Specialist,G-P,"HR, HR, Growth, Growth, Management, Management",💰 Upgrade to Premium to see salary,2026-01-12T18:00:59+00:00,India,India,Multiple locations,Other,R,1,R
Software Engineer II DevOps,Sony Interactive Entertainment,"Software, Software, System, System, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-12T18:00:31+00:00,Waterloo,Waterloo,Multiple locations,Software Development,R,1,R
Kubernetes Engineer,"LE018 Zelis Healthcare, LLC","Design, Design, Amazon, Amazon, System, System",💰 Upgrade to Premium to see salary,2026-01-12T18:00:01+00:00,US NJ Morristown,Us,NJ Morristown,DevOps,None identified,0,
Writer Editor B2B Technology,LaunchSquad,"Technical, Technical, Writer, Writer, Support, Support",💰 Upgrade to Premium to see salary,2026-01-12T14:00:24+00:00,"Remote, or Hybrid SF, NYC, BOS or CHI","Remote, or Hybrid SF, NYC, BOS or CHI",Multiple locations,Support,R,1,R
Staff Product Manager,ZenBusiness Inc.,"Manager, Manager, Testing, Testing, Test, Test",💰 Upgrade to Premium to see salary,2026-01-12T14:00:18+00:00,Remote,Remote,Remote,Product Management,R,1,R
Business Development Manager,Gate,"Manager, Manager, Web3, Web3, Defi, Defi",💰 Upgrade to Premium to see salary,2026-01-12T09:00:01+00:00,Global-NAJ,Global-NAJ,Multiple locations,Sales,"R, Web3",2,R | Web3
Senior Software Engineer Backend,Cresta,"Software, Software, Design, Design, Python, Python",💰 Upgrade to Premium to see salary,2026-01-12T01:00:11+00:00,Toronto,Toronto,Multiple locations,Software Development,"Python, R",2,Python | R
Associate Director Manufacturing Science and Technology,Apogee Therapeutics,"Director, Director, Support, Support, Engineering, Engineering",💰 Upgrade to Premium to see salary,2026-01-11T23:00:35+00:00,Remote,Remote,Remote,Support,R,1,R
Platform & Automation Engineer,Braze,"Technical, Technical, Growth, Growth, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-11T23:00:15+00:00,Ontario,Ontario,Multiple locations,Other,R,1,R
Senior Software Engineer,Clariti Cloud Inc.,"Software, Software, Design, Design, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-11T20:00:09+00:00,CANADA,Canada,Multiple locations,Software Development,R,1,R
Quality Analyst II,"Pathward, N.A.","Analyst, Analyst, Financial, Financial, Finance, Finance",💰 Upgrade to Premium to see salary,2026-01-11T18:00:11+00:00,Remote,Remote,Remote,Finance,None identified,0,
Solutions Engineer Commercial,Tailscale,"Security, Security, Technical, Technical, Software, Software",💰 Upgrade to Premium to see salary,2026-01-11T17:00:17+00:00,Canada,Canada,Multiple locations,Other,R,1,R
Sr Solutions Engineer,BeyondTrust,"Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-11T16:00:27+00:00,Remote Canada,Canada,Remote,Other,R,1,R
Full Stack Product Engineer,Jiga,"Senior, Senior, JavaScript, JavaScript, React, React",💰 $100k - $190k,2026-01-04T09:11:39+00:00,🇪🇺 Europe,🇪🇺 Europe,Multiple locations,Software Development,"Java, Javascript, R, React",4,Java | Javascript | R | React
Senior Software Engineer Rocket Ready,Rocket Money,"Software, Software, Full-Stack, Full-Stack, Support, Support",💰 Upgrade to Premium to see salary,2026-01-11T02:00:17+00:00,"San Francisco, CA","San Francisco, CA",Multiple locations,Software Development,R,1,R
DevOps Engineer,Bugcrowd,"System, System, Security, Security, Support, Support",💰 Upgrade to Premium to see salary,2026-01-11T01:00:13+00:00,Remote - India,India,Remote,DevOps,R,1,R
Senior Software Engineer,Stellar AI,"Developer, Developer, Train, Train",,2026-01-04T00:00:08+00:00,🇪🇺 Europe,🇪🇺 Europe,Multiple locations,Data Science,R,1,R
Senior DevOps Engineer,Bugcrowd,"System, System, Security, Security, DevOps, DevOps",💰 Upgrade to Premium to see salary,2026-01-10T23:00:11+00:00,Remote - India,India,Remote,DevOps,"Devops, R",2,Devops | R
Staff DevOps Engineer,Bugcrowd,"Design, Design, Security, Security, Developer, Developer",💰 Upgrade to Premium to see salary,2026-01-10T22:00:40+00:00,Remote - India,India,Remote,Software Development,R,1,R
Technical Support Engineer,Ada,"Technical, Technical, Support, Support, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-10T22:00:14+00:00,British Columbia,British Columbia,Multiple locations,Support,R,1,R
Senior Backend Engineer Submission Processing Team,Kalepa,"Microsoft, Microsoft, Senior, Senior, Excel, Excel",💰 Upgrade to Premium to see salary,2026-01-10T20:00:22+00:00,New York,New York,Multiple locations,Data Analysis,R,1,R
Forward Deployed Engineer AI Inference,"Red Hat, Inc.","Python, Python, Training, Training, Developer, Developer",💰 Upgrade to Premium to see salary,2026-01-10T20:00:01+00:00,Remote US MA,Us,Remote  MA,Data Science,"Python, R",2,Python | R
Graphic Designer,xAI,"Design, Design, Designer, Designer, Content, Content",💰 Upgrade to Premium to see salary,2026-01-10T17:00:17+00:00,Palo Alto,Palo Alto,Multiple locations,Design,R,1,R
Customer Service Virtual Assistant,Assist World,"Assistant, Assistant, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-10T15:00:02+00:00,South Africa,South Africa,Multiple locations,Support,R,1,R
Salesforce Experience Architect AI and Agentforce,"NeuraFlash, Part of Accenture","Salesforce, Salesforce, Architect, Architect, Amazon, Amazon",💰 Upgrade to Premium to see salary,2026-01-10T14:00:33+00:00,Remote - United States,United States,Remote,Data Science,"R, Salesforce",2,R | Salesforce
Current openings,Remote - Referral Board,,💰 Upgrade to Premium to see salary,2026-01-10T14:00:11+00:00,Remote,Remote,Remote,Other,None identified,0,
Principal DevSecOps Engineer,GHX,"Technical, Technical, Software, Software, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-10T13:00:40+00:00,USA,Usa,Multiple locations,Other,R,1,R
Lead .NET Engineer,Excella,"Support, Support, Growth, Growth, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-10T13:00:24+00:00,Arlington,Arlington,Multiple locations,Support,R,1,R
2D Game Artist Co op Intern,A Thinking Ape,"Game, Game, Mobile, Mobile, Management, Management",💰 Upgrade to Premium to see salary,2026-01-09T23:00:41+00:00,Remote,Remote,Remote,Other,None identified,0,
Lead Artist,"Take-Two Interactive Software, Inc.","Design, Design, System, System, 3d, 3d",💰 Upgrade to Premium to see salary,2026-01-09T23:00:16+00:00,Massachusetts,Us,Massachetts,Other,None identified,0,
Senior Software Engineer iOS,Underdog Sports,"iOS, iOS, Software, Software, Design, Design",💰 Upgrade to Premium to see salary,2026-01-09T22:00:17+00:00,United States,United States,Multiple locations,Software Development,R,1,R
Senior Software Developer,Vidyard,"Developer, Developer, Software, Software, Director, Director",💰 Upgrade to Premium to see salary,2026-01-09T19:00:20+00:00,"Remote, Canada",Canada,Remote,Software Development,R,1,R
Senior Software Engineer Solutions,Ada,"Software, Software, Growth, Growth, Management, Management",💰 Upgrade to Premium to see salary,2026-01-09T18:00:56+00:00,Remote - Canada,Canada,Remote,Software Development,R,1,R
Graphic Design Technical Mentor,ALX Africa,"Design, Design, Students, Students, Training, Training",💰 Upgrade to Premium to see salary,2026-01-09T18:00:18+00:00,Remote,Remote,Remote,Data Science,R,1,R
Principal Software Engineer,Recorded Future,"Software, Software, Design, Design, Architect, Architect",💰 Upgrade to Premium to see salary,2026-01-09T16:01:02+00:00,"Boston, MA","Boston, MA",Multiple locations,Software Development,R,1,R
Software Engineer Identity Access Management,Zip,"Software, Software, Front End, Front End, Security, Security",💰 Upgrade to Premium to see salary,2026-01-09T16:00:46+00:00,San Francisco,San Francisco,Multiple locations,Software Development,R,1,R
Salesforce Solution Architect Experience Cloud,"NeuraFlash, Part of Accenture","Salesforce, Salesforce, Architect, Architect, Amazon, Amazon",💰 Upgrade to Premium to see salary,2026-01-09T14:00:40+00:00,Remote - United States,United States,Remote,Sales,"R, Salesforce",2,R | Salesforce
Software Engineer,Tech Innovations Inc.,"Software, Software, Code, Code, Web, Web",💰 Upgrade to Premium to see salary,2026-01-09T14:00:07+00:00,San Francisco,San Francisco,Multiple locations,Software Development,R,1,R
Performance Marketing Manager GalaxyOne,Galaxy Digital Services,"Manager, Manager, Web3, Web3, Crypto, Crypto",💰 Upgrade to Premium to see salary,2026-01-09T12:00:32+00:00,Remote,Remote,Remote,Marketing,"R, Web3",2,R | Web3
DevSecOps Engineer,Alpaca,"Design, Design, Crypto, Crypto, Security, Security",💰 Upgrade to Premium to see salary,2026-01-09T10:00:19+00:00,Remote - Global (Anywhere),Remote - Global (Anywhere),Multiple locations,Other,R,1,R
Product Manager,PancakeSwap,"Manager, Manager, Marketing, Marketing, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-09T08:00:32+00:00,Remote,Remote,Remote,Marketing,R,1,R
Blockchain Investigator and Law Enforcement Liaison,Tether Operations Limited,"Cryptocurrency, Cryptocurrency, Bitcoin, Bitcoin, Security, Security",💰 Upgrade to Premium to see salary,2026-01-09T08:00:19+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Crypto Production Engineer,Wormhole Foundation,"Crypto, Crypto, Security, Security, Support, Support",💰 Upgrade to Premium to see salary,2026-01-09T08:00:12+00:00,Remote,Remote,Remote,Support,R,1,R
Senior Java Software Developer,Callibrity,"Developer, Developer, Software, Software, Consulting, Consulting",💰 Upgrade to Premium to see salary,2026-01-09T04:00:14+00:00,Remote,Remote,Remote,Software Development,R,1,R
Senior Full Stack Developer,Nuclear Promise X,"Developer, Developer, Software, Software, Web, Web",💰 Upgrade to Premium to see salary,2026-01-09T03:00:09+00:00,Remote,Remote,Remote,Software Development,R,1,R
Product Engineer AuthKit,WorkOS,"SaaS, SaaS, Support, Support, Developer, Developer",💰 Upgrade to Premium to see salary,2026-01-09T00:00:19+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Senior Solutions Architect APAC,Chainguard,"Architect, Architect, Technical, Technical, Software, Software",💰 Upgrade to Premium to see salary,2026-01-08T22:00:15+00:00,Australia,Us,Atralia,Other,R,1,R
Accelerator Design & Development Manager,InStride,"Design, Design, Manager, Manager, Edu, Edu",💰 Upgrade to Premium to see salary,2026-01-08T04:00:15+00:00,Los Angeles,Los Angeles,Multiple locations,Other,R,1,R
Software Engineer Mid level API,CoinGecko,"Software, Software, Design, Design, Cryptocurrency, Cryptocurrency",💰 Upgrade to Premium to see salary,2026-01-08T02:00:45+00:00,Malaysia,Malaysia,Multiple locations,Software Development,R,1,R
Software Engineer Site Reliability Engineer,Thumbtack,"Software, Software, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-08T02:00:39+00:00,"Remote, Ontario","Remote, Ontario",Multiple locations,Software Development,R,1,R
Senior Software Engineer .NET US,PerfectServe,"Software, Software, Technical, Technical, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-08T02:00:15+00:00,Remote,Remote,Remote,Software Development,R,1,R
Senior Software Engineer,Evolve,"Software, Software, Design, Design, System, System",💰 Upgrade to Premium to see salary,2026-01-07T23:00:17+00:00,Remote - US,Us,Remote,Software Development,R,1,R
Senior Staff Machine Learning Engineer,Cresta,"Front-End, Front-End, Senior, Senior, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-07T22:00:30+00:00,"US, Canada",Us,US,Data Science,R,1,R
Staff Software Engineer Java,Ping Identity,"Software, Software, Developer, Developer, Java, Java",💰 Upgrade to Premium to see salary,2026-01-07T21:00:12+00:00,"Vancouver, WA","Vancouver, WA",Multiple locations,Software Development,"Java, R",2,Java | R
Principal Server Engineer NBA 2K,Visual Concepts,"Design, Design, Game, Game, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-07T20:00:16+00:00,"Novato, CA","Novato, CA",Multiple locations,Other,None identified,0,
Software Engineer iOS,Mercury,"iOS, iOS, Software, Software, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-07T19:00:22+00:00,Remote within Canada or United States,United States,Remote within Canada or,Software Development,R,1,R
Senior Server Engineer NBA 2K,Visual Concepts,"Security, Security, Game, Game, Gaming, Gaming",💰 Upgrade to Premium to see salary,2026-01-07T17:00:15+00:00,"Novato, CA","Novato, CA",Multiple locations,Other,R,1,R
Senior Software Engineer Analytics,"Bayesian Health, Inc.","Software, Software, Python, Python, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-07T16:00:45+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,"Python, R",2,Python | R
Software Engineer,Tech Solutions Inc.,"Software, Software, Code, Code, Java, Java",💰 Upgrade to Premium to see salary,2026-01-07T16:00:06+00:00,San Francisco,San Francisco,Multiple locations,Software Development,"Java, R",2,Java | R
Graphic Design Technical Mentor,ALX Africa,"Design, Design, Students, Students, Training, Training",💰 Upgrade to Premium to see salary,2026-01-07T11:00:17+00:00,Remote,Remote,Remote,Data Science,R,1,R
Customer Support Specialist,Front,"Salesforce, Salesforce, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-07T08:00:39+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Quality Assurance Engineer Manual,Elligint Health,"Testing, Testing, Test, Test, Medical, Medical",💰 Upgrade to Premium to see salary,2026-01-07T08:00:32+00:00,Remote,Remote,Remote,QA/Testing,None identified,0,
Staff Software Engineer Crypto,Robinhood,"Crypto, Crypto, Software, Software, Design, Design",💰 Upgrade to Premium to see salary,2026-01-06T20:00:21+00:00,New York,New York,Multiple locations,Software Development,R,1,R
Junior Software Developer Full Stack,KOHO,"Developer, Developer, Software, Software, Design, Design",💰 Upgrade to Premium to see salary,2026-01-06T16:01:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Senior HubSpot Developer,Softermii,"Developer, Developer, 3d, 3d, Software, Software",💰 Upgrade to Premium to see salary,2026-01-06T16:01:01+00:00,Remote,Remote,Remote,Software Development,R,1,R
Owner IT Support Engineer,Owner,"Support, Support, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-06T16:00:34+00:00,Remote,Remote,Remote,Support,R,1,R
Customer Success Manager,Federato,"Manager, Manager",💰 Upgrade to Premium to see salary,2026-01-06T16:00:27+00:00,Remote,Remote,Remote,Support,R,1,R
Senior Product Designer Ticketing,PlayOn,"Design, Design, System, System, Teach, Teach",💰 Upgrade to Premium to see salary,2026-01-06T14:00:01+00:00,Remote,Remote,Remote,Design,None identified,0,
Assistant Manager Social Media,Interview Kickstart,"Manager, Manager, Assistant, Assistant, System, System",💰 Upgrade to Premium to see salary,2026-01-06T12:00:43+00:00,Remote,Remote,Remote,Other,R,1,R
Customer Support Agent,Clerk Chat,"Support, Support, Telecom, Telecom, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-06T12:00:17+00:00,Remote,Remote,Remote,Support,R,1,R
Content and Communications Lead,Recidiviz,"Support, Support, Software, Software, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-06T08:00:40+00:00,Remote,Remote,Remote,Support,R,1,R
Art Director,Digital Media Management,"Director, Director, Design, Design, Training, Training",💰 Upgrade to Premium to see salary,2026-01-06T00:02:35+00:00,United States,United States,Multiple locations,Data Science,R,1,R
Lead Omics Workflow Engineer,Axle,"Software, Software, Assistant, Assistant, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-06T00:02:28+00:00,Remote,Remote,Remote,Other,R,1,R
ERP Systems Manager,DISHER,"Manager, Manager, System, System, Security, Security",💰 Upgrade to Premium to see salary,2026-01-06T00:02:11+00:00,Remote,Remote,Remote,Other,R,1,R
Copy of Senior AI ML Engineer Applied Machine Learning,Trase Systems,"Senior, Senior, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-06T00:02:04+00:00,USA,Usa,Multiple locations,Data Science,R,1,R
Senior Software Engineer Backend Engineering,Trase Systems,"Software, Software, Senior, Senior, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-06T00:01:33+00:00,Remote,Remote,Remote,Software Development,R,1,R
